,acronym,summary,tags
0,AML,"Aml Eysan Ameen (; born 30 July 1985) is a British actor. He is best known for his roles as Trevor (Trife) in Kidulthood (2006), Lewis Hardy in the ITV television series The Bill, Capheus in the first season of the Netflix original series Sense8, and Alby in The Maze Runner (2014).",[]
1,AML,"Acute myeloid leukemia (AML) is a cancer of the myeloid line of blood cells, characterized by the rapid growth of abnormal cells that build up in the bone marrow and blood and interfere with normal blood cell production. Symptoms may include feeling tired, shortness of breath, easy bruising and bleeding, and increased risk of infection. Occasionally, spread may occur to the brain, skin, or gums. As an acute leukemia, AML progresses rapidly, and is typically fatal within weeks or months if left untreated.Risk factors include smoking, previous chemotherapy or radiation therapy, myelodysplastic syndrome, and exposure to the chemical benzene. The underlying mechanism involves replacement of normal bone marrow with leukemia cells, which results in a drop in red blood cells, platelets, and normal white blood cells. Diagnosis is generally based on bone marrow aspiration and specific blood tests. AML has several subtypes for which treatments and outcomes may vary.The first-line treatment of AML is usually chemotherapy, with the aim of inducing remission. People may then go on to receive additional chemotherapy, radiation therapy, or a stem cell transplant. The specific genetic mutations present within the cancer cells may guide therapy, as well as determine how long that person is likely to survive.In 2015, AML affected about one million people, and resulted in 147,000 deaths globally. It most commonly occurs in older adults. Males are affected more often than females. The five-year survival rate is about 35% in people under 60 years old and 10% in people over 60 years old. Older people whose health is too poor for intensive chemotherapy have a typical survival of five to ten months. It accounts for roughly 1.1% of all cancer cases, and 1.9% of cancer deaths in the United States.",[]
2,AML,"The know your customer or know your client (KYC) guidelines in financial services require that professionals make an effort to verify the identity, suitability, and risks involved with maintaining a business relationship. The procedures fit within the broader scope of a bank's anti-money laundering (AML) policy. KYC processes are also employed by companies of all sizes for the purpose of ensuring their proposed customers, agents, consultants, or distributors are anti-bribery compliant, and are actually who they claim to be. Banks, insurers, export creditors, and other financial institutions are increasingly demanding that customers provide detailed due diligence information. Initially, these regulations were imposed only on the financial institutions but now the non-financial industry, fintech, virtual assets dealers, and even non-profit organizations are liable to oblige.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 63, 'end': 72}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 271, 'end': 275}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 283, 'end': 288}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 575, 'end': 584}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 738, 'end': 747}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 777, 'end': 786}]"
3,AML,"Inside Man: Most Wanted is a 2019 American crime thriller film directed by M. J. Bassett and starring Aml Ameen, Rhea Seehorn, and Roxanne McKee. A sequel to the 2006 film Inside Man, it was released direct-to-video in the United States on September 24, 2019. It was also released onto Netflix and other pay-on-demand digital platforms.",[]
4,AML,"The Bank Secrecy Act of 1970 (BSA), also known as the Currency and Foreign Transactions Reporting Act, is a U.S. law requiring financial institutions in the United States to assist U.S. government agencies in detecting and preventing money laundering. Specifically, the act requires financial institutions to keep records of cash purchases of negotiable instruments, file reports if the daily aggregate exceeds $10,000, and report suspicious activity that may signify money laundering, tax evasion, or other criminal activities.The BSA is sometimes referred to as an anti-money laundering law (AML) or jointly as BSA/AML.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 127, 'end': 136}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 234, 'end': 239}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 283, 'end': 292}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 468, 'end': 473}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 572, 'end': 577}]"
5,AML,"Advanced Mobile Location (or AML) is a free-of-charge emergency location-based service (LBS) available on smartphones that, when a caller dials the local (in country) short dial emergency telephone number, sends the best available geolocation of the caller to a dedicated end-point, usually a Public Safety Answering Point, making the location of the caller available to emergency call takers in real-time. AML improves the time taken by emergency call takers to verify the location of callers and can improve the time taken to dispatch an emergency response.
AML is a protocol to transport data with SMS and/or HTTPS from the phone to the emergency call centre in all countries that have deployed AML; it is not an app and does not require any action from the caller. AML is supported in many countries, and by all smartphones running recent versions of Android or iOS, although it can be disabled in user settings.
AML was standardised by the European Telecommunications Standards Institute (ETSI) Emergency Telecommunications Subcommittee (EMTEL)[1] in 2019 as Technical Specifications.

",[]
6,AML,"Acute monocytic leukemia (AMoL, or AML-M5) is a type of acute myeloid leukemia. In AML-M5 >80% of the leukemic cells are of monocytic lineage. This cancer is characterized by a dominance of monocytes in the bone marrow. There is an overproduction of monocytes that the body does not need in the periphery. These overproduced monocytes interfere with normal immune cell production which causes many health complications for the infected individual.",[]
7,CFT,"The cat (Felis catus) is a domestic species of small carnivorous mammal. It is the only domesticated species in the family Felidae and is often referred to as the domestic cat to distinguish it from the wild members of the family. A cat can either be a house cat, a farm cat or a feral cat; the latter ranges freely and avoids human contact. Domestic cats are valued by humans for companionship and their ability to kill rodents. About 60 cat breeds are recognized by various cat registries.The cat is similar in anatomy to the other felid species: it has a strong flexible body, quick reflexes, sharp teeth and retractable claws adapted to killing small prey. Its night vision and sense of smell are well developed. Cat communication includes vocalizations like meowing, purring, trilling, hissing, growling and grunting as well as cat-specific body language. A predator that is most active at dawn and dusk (crepuscular), the cat is a solitary hunter but a social species. It can hear sounds too faint or too high in frequency for human ears, such as those made by mice and other small mammals. Cats also secrete and perceive pheromones.Female domestic cats can have kittens from spring to late autumn, with litter sizes often ranging from two to five kittens. Domestic cats are bred and shown at events as registered pedigreed cats, a hobby known as cat fancy. Population control of cats may be effected by spaying and neutering, but their proliferation and the abandonment of pets has resulted in large numbers of feral cats worldwide, contributing to the extinction of entire bird, mammal, and reptile species.It was long thought that cat domestication began in ancient Egypt, where cats were venerated from around 3100 BC, but recent advances in archaeology and genetics have shown that their domestication occurred in Western Asia around 7500 BC.As of 2021, there were an estimated 220 million owned and 480 million stray cats in the world. As of 2017, the domestic cat was the second most popular pet in the United States, with 95.6 million cats owned and around 42 million households own at least one cat. In the United Kingdom, 26% of adults have a cat with an estimated population of 10.9 million pet cats as of 2020.",[]
8,CFT,"In theoretical physics, the anti-de Sitter/conformal field theory correspondence, sometimes called Maldacena duality or gauge/gravity duality, is a conjectured relationship between two kinds of physical theories. On one side are anti-de Sitter spaces (AdS) which are used in theories of quantum gravity, formulated in terms of string theory or M-theory. On the other side of the correspondence are conformal field theories (CFT) which are quantum field theories, including theories similar to the Yang–Mills theories that describe elementary particles.
The duality represents a major advance in the understanding of string theory and quantum gravity. This is because it provides a non-perturbative formulation of string theory with certain boundary conditions and because it is the most successful realization of the holographic principle, an idea in quantum gravity originally proposed by Gerard 't Hooft and promoted by Leonard Susskind.
It also provides a powerful toolkit for studying strongly coupled quantum field theories. Much of the usefulness of the duality results from the fact that it is a strong-weak duality: when the fields of the quantum field theory are strongly interacting, the ones in the gravitational theory are weakly interacting and thus more mathematically tractable. This fact has been used to study many aspects of nuclear and condensed matter physics by translating problems in those subjects into more mathematically tractable problems in string theory.
The AdS/CFT correspondence was first proposed by Juan Maldacena in late 1997. Important aspects of the correspondence were soon elaborated in two articles, one by Steven Gubser, Igor Klebanov and Alexander Polyakov, and another by Edward Witten. By 2015, Maldacena's article had over 10,000 citations, becoming the most highly cited article in the field of high energy physics, reaching over 20,000 citations in 2020.",[]
9,CFT,"Boeing Crew Flight Test (Boe CFT) will be the first crewed mission of the Boeing Starliner and the third orbital flight test of the Starliner overall after the two uncrewed flight tests, OFT-1 and OFT-2. Though the launch date for the mission was scheduled for late 2021, the delay of OFT-2 to early 2022 has pushed the launch of the CFT mission to the end of 2022. It will fly with a crew of two NASA astronauts, who will fly to the International Space Station for a two week test flight.

",[]
10,CFT,"Crystal field theory (CFT) describes the breaking of degeneracies of electron orbital states, usually d or f orbitals, due to a static electric field produced by a surrounding charge distribution (anion neighbors). This theory has been used to describe various spectroscopies of transition metal coordination complexes, in particular optical spectra (colors). CFT successfully accounts for some magnetic properties, colors, hydration enthalpies, and spinel structures of transition metal complexes, but it does not attempt to describe bonding. CFT was developed by physicists Hans Bethe and John Hasbrouck van Vleck in the 1930s. CFT was subsequently combined with molecular orbital theory to form the more realistic and complex ligand field theory (LFT), which delivers insight into the process of chemical bonding in transition metal complexes.

",[]
11,CFT,"In string theory, the dS/CFT correspondence is a de Sitter space analogue of the AdS/CFT correspondence, proposed originally by Andrew Strominger. In this correspondence, the conjectured CFT boundary is in the future, and time is the emergent dimension.",[]
12,CFT,"CFT (Cross File Transfer) (product name: Axway Transfer CFT) is a secure computer file transfer program and protocol from Axway Inc, used extensively in Finance and banking industries in Europe, by companies like AG2R La Mondiale and Swiss Post.CFT was for mainframe computers using the French X.25-based Transpac network, but was later ported to use Internet protocols (TCP/IP) as well.  Client software must be purchased from [[Axwa[[]]y]], and includes a license manager that enforce machine and transfer limits.",[]
13,CFT,"(–)-2-β-Carbomethoxy-3-β-(4-fluorophenyl)tropane (β-CFT, WIN 35,428) is a stimulant drug used in scientific research. CFT is a phenyltropane based dopamine reuptake inhibitor and is structurally derived from cocaine. It is around 3-10x more potent than cocaine and lasts around 7 times longer based on animal studies. While the naphthalenedisulfonate salt is the most commonly used form in scientific research due to its high solubility in water, the free base and hydrochloride salts are known compounds and can also be produced. The tartrate is another salt form that is reported.",[]
14,CFT,"The United States Marine Corps requires that all Marines perform a Physical Fitness Test (PFT) and a Combat Fitness Test  (CFT) once per calendar year. Each test must be held at an interval of six months. The same standards apply for reservists. The PFT ensures that Marines are keeping physically fit and in a state of physical readiness. It consists of pull-ups or push-ups, crunches or planks, and a 3-mile run.
On October 1, 2008, the Marine Corps introduced the additional pass/fail CFT to the fitness requirements. The CFT is designed to measure abilities demanded of Marines in a war zone.

",[]
15,CFT,"The holographic principle is a tenet of string theories and a supposed property of quantum gravity that states that the description of a volume of space can be thought of as encoded on a lower-dimensional boundary to the region—such as a light-like boundary like a gravitational horizon. First proposed by Gerard 't Hooft, it was given a precise string-theory interpretation by Leonard Susskind, who combined his ideas with previous ones of 't Hooft and Charles Thorn. Leonard Susskind said, “The three-dimensional world of ordinary experience––the universe filled with galaxies, stars, planets, houses, boulders, and people––is a hologram, an image of reality coded on a distant two-dimensional (2D) surface."" As pointed out by Raphael Bousso, Thorn observed in 1978 that string theory admits a lower-dimensional description in which gravity emerges from it in what would now be called a holographic way.  The prime example of holography is the AdS/CFT correspondence.
The holographic principle was inspired by black hole thermodynamics, which conjectures that the maximum entropy in any region scales with the radius squared, and not cubed as might be expected. In the case of a black hole, the insight was that the informational content of all the objects that have fallen into the hole might be entirely contained in surface fluctuations of the event horizon. The holographic principle resolves the black hole information paradox within the framework of string theory.
However, there exist classical solutions to the Einstein equations that allow values of the entropy larger than those allowed by an area law (radius squared), hence in principle larger than those of a black hole. These are the so-called ""Wheeler's bags of gold"". The existence of such solutions conflicts with the holographic interpretation, and their effects in a quantum theory of gravity including the holographic principle are not yet fully understood.

",[]
16,SFC,"The Galway county football team represents Galway in men's Gaelic football and is governed by Galway GAA, the county board of the Gaelic Athletic Association. The team competes in the three major annual inter-county competitions; the All-Ireland Senior Football Championship, the Connacht Senior Football Championship and the National Football League.
Galway's home ground is Pearse Stadium, Salthill. The team's manager is Pádraic Joyce.
Galway was the first Connacht county to win an All-Ireland Senior Football Championship (SFC), but the second to appear in the final, following Mayo. It has nine All-Ireland SFCs, the third highest total after Kerry and Dublin. It won three consecutive All-Ireland SFCs in the mid-1960s and, from 1998 onwards, two All-Ireland SFC titles in four years. The team last won the Connacht Senior Championship in 2022, the All-Ireland Senior Championship in 2001 and the National League in 1981.","[{'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 117, 'end': 122}]"
