,Unnamed: 0,acronym,summary,tags,has_tags,semantic_type,classification_data
2,2,AML,"The know your customer or know your client (KYC) guidelines in financial services require that professionals make an effort to verify the identity, suitability, and risks involved with maintaining a business relationship. The procedures fit within the broader scope of a bank's anti-money laundering (AML) policy. KYC processes are also employed by companies of all sizes for the purpose of ensuring their proposed customers, agents, consultants, or distributors are anti-bribery compliant, and are actually who they claim to be. Banks, insurers, export creditors, and other financial institutions are increasingly demanding that customers provide detailed due diligence information. Initially, these regulations were imposed only on the financial institutions but now the non-financial industry, fintech, virtual assets dealers, and even non-profit organizations are liable to oblige.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 63, 'end': 72}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 271, 'end': 275}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 283, 'end': 288}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 575, 'end': 584}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 738, 'end': 747}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 777, 'end': 786}]",True,guideline,"{'guideline': 0.8812936544418335, 'policy': 0.7326834201812744, 'bank': 0.5681201219558716, 'regulatory body': 0.4712848663330078}"
12,12,SFC,"The Galway county football team represents Galway in men's Gaelic football and is governed by Galway GAA, the county board of the Gaelic Athletic Association. The team competes in the three major annual inter-county competitions; the All-Ireland Senior Football Championship, the Connacht Senior Football Championship and the National Football League.
Galway's home ground is Pearse Stadium, Salthill. The team's manager is Pádraic Joyce.
Galway was the first Connacht county to win an All-Ireland Senior Football Championship (SFC), but the second to appear in the final, following Mayo. It has nine All-Ireland SFCs, the third highest total after Kerry and Dublin. It won three consecutive All-Ireland SFCs in the mid-1960s and, from 1998 onwards, two All-Ireland SFC titles in four years. The team last won the Connacht Senior Championship in 2022, the All-Ireland Senior Championship in 2001 and the National League in 1981.","[{'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 117, 'end': 122}]",True,Non-Financial Entity,"{'regulatory body': 0.8917790651321411, 'guideline': 0.6545599699020386, 'policy': 0.4879588484764099, 'bank': 0.3092542886734009, 'finance': 0.2930116653442383}"
13,13,FATF,"The Financial Action Task Force (on Money Laundering) (FATF), also known by its French name, Groupe d'action financière (GAFI), is an intergovernmental organisation founded in 1989 on the initiative of the G7 to develop policies to combat money laundering. In 2001, its mandate was expanded to include terrorism financing.
The objectives of FATF are to set standards and promote effective implementation of legal, regulatory and operational measures for combating money laundering, terrorist financing and other related threats to the integrity of the international financial system. FATF is a ""policy-making body"" that works to generate the necessary political will to bring about national legislative and regulatory reforms in these areas. FATF monitors progress in implementing its Recommendations through ""peer reviews"" (""mutual evaluations"") of member countries.
Since 2000, FATF has maintained the FATF blacklist (formally called the ""Call for action"") and the FATF greylist (formally called the ""Other monitored jurisdictions""). The blacklist has led financial institutions to shift resources and services away from the listed. This in turn has motivated domestic economic and political actors in the listed countries to pressure their governments to introduce regulations that are compliant with the FATF.","[{'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 239, 'end': 244}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 464, 'end': 469}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 566, 'end': 575}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1058, 'end': 1067}]",True,policy,"{'policy': 0.9388455152511597, 'regulatory body': 0.6386851072311401, 'guideline': 0.5574721097946167, 'bank': 0.3854680061340332}"
14,14,ASIC,"An application-specific integrated circuit (ASIC ) is an integrated circuit (IC) chip customized for a particular use, rather than intended for general-purpose use. For example, a chip designed to run in a digital voice recorder or a high-efficiency video codec (e.g. AMD VCE) is an ASIC. Application-specific standard product (ASSP) chips are intermediate between ASICs and industry standard integrated circuits like the 7400 series or the 4000 series. ASIC chips are typically fabricated using metal-oxide-semiconductor (MOS) technology, as MOS integrated circuit chips.As feature sizes have shrunk and design tools improved over the years, the maximum complexity (and hence functionality) possible in an ASIC has grown from 5,000 logic gates to over 100 million. Modern ASICs often include entire microprocessors, memory blocks including ROM, RAM, EEPROM, flash memory and other large building blocks. Such an ASIC is often termed a SoC (system-on-chip). Designers of digital ASICs often use a hardware description language (HDL), such as Verilog or VHDL, to describe the functionality of ASICs.Field-programmable gate arrays (FPGA) are the modern-day technology improvement on breadboards, meaning that they are not made to be application-specific as opposed to ASICs. Programmable logic blocks and programmable interconnects allow the same FPGA to be used in many different applications. For smaller designs or lower production volumes, FPGAs may be more cost-effective than an ASIC design, even in production. The non-recurring engineering (NRE) cost of an ASIC can run into the millions of dollars. Therefore, device manufacturers typically prefer FPGAs for prototyping and devices with low production volume and ASICs for very large production volumes where NRE costs can be amortized across many devices.","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 310, 'end': 318}, {'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 384, 'end': 392}]",True,Non-Financial Entity,"{'guideline': 0.2505337595939636, 'regulatory body': 0.19311730563640594, 'policy': 0.11921346187591553, 'bank': 0.0643296092748642, 'finance': 0.03640025854110718}"
20,20,EBA,The European Banking Authority (EBA) is a regulatory agency of the European Union headquartered in Paris. Its activities include conducting stress tests on European banks to increase transparency in the European financial system and identifying weaknesses in banks' capital structures.The EBA has the power to overrule national regulators if they fail to properly regulate their banks. The EBA is able to prevent regulatory arbitrage and should allow banks to compete fairly throughout the EU. The EBA will prevent a race to the bottom because banks established in jurisdictions with less regulation will no longer be at a competitive advantage compared to banks based in jurisdictions with more regulations as all banks will henceforth have to comply with the higher pan European standard.,"[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 212, 'end': 221}, {'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 781, 'end': 789}]",True,regulatory body,"{'regulatory body': 0.9875544905662537, 'bank': 0.8868182897567749, 'policy': 0.677623450756073, 'guideline': 0.5644438862800598}"
21,21,ECB,"The European Central Bank (ECB) is the prime component of the Eurosystem and the European System of Central Banks (ESCB) as well as one of seven institutions of the European Union. It is one of the world's most important central banks.
The ECB Governing Council makes monetary policy for the Eurozone and the European Union, administers the foreign exchange reserves of EU member states, engages in foreign exchange operations, and defines the intermediate monetary objectives and key interest rate of the EU. The ECB Executive Board enforces the policies and decisions of the Governing Council, and may direct the national central banks when doing so. The ECB has the exclusive right to authorise the issuance of euro banknotes. Member states can issue euro coins, but the volume must be approved by the ECB beforehand. The bank also operates the TARGET2 payments system.
The ECB was established by the Treaty of Amsterdam in May 1999 with the purpose of guaranteeing and maintaining price stability. On 1 December 2009, the Treaty of Lisbon became effective and the bank gained the official status of an EU institution. When the ECB was created, it covered a Eurozone of eleven members. Since then, Greece joined in January 2001, Slovenia in January 2007, Cyprus and Malta in January 2008, Slovakia in January 2009, Estonia in January 2011, Latvia in January 2014 and Lithuania in January 2015. The current President of the ECB is Christine Lagarde. Headquartered in Frankfurt, Germany, the bank formerly occupied the Eurotower prior to the construction of its new seat.
The ECB is directly governed by European Union law. Its capital stock, worth €11 billion, is owned by all 27 central banks of the EU member states as shareholders. The initial capital allocation key was determined in 1998 on the basis of the states' population and GDP, but the capital key has been readjusted since. Shares in the ECB are not transferable and cannot be used as collateral.","[{'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 825, 'end': 829}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 1068, 'end': 1072}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 1493, 'end': 1497}]",True,regulatory body,"{'regulatory body': 0.9070273637771606, 'policy': 0.8686766624450684, 'bank': 0.8483684062957764, 'guideline': 0.48082083463668823}"
30,30,QFC,"The Qatar Financial Centre (‘QFC’) is an onshore business and financial centre located in Doha, Qatar, providing legal and regulatory services for local and international companies.
The platform was established in March 2005. In June 2015, Yousuf Mohamed Al-Jaida, was appointed the Board Member and Chief Executive Officer of the QFC.
Registered entities gain access to QFC’s own legal, regulatory, tax and business environment, set up to contribute to Qatar’s national diversification and development plans. The QFC welcomes a broad range of financial and non-financial services, that support the development of Qatar and the wider region, and currently has over 1,400 firms registered on its platform.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 62, 'end': 71}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 544, 'end': 553}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 562, 'end': 571}]",True,regulatory body,"{'regulatory body': 0.8926263451576233, 'guideline': 0.8204950094223022, 'policy': 0.5479583144187927, 'bank': 0.3308854401111603}"
31,31,APRA,"APRA AMCOS consists of Australasian Performing Right Association (APRA) and Australasian Mechanical Copyright Owners Society (AMCOS), both copyright management organisations or copyright collectives which jointly represent over 100,000 songwriters, composers and music publishers in Australia and New Zealand. The two organisations work together to license public performances and administer performance, communication and reproduction rights on behalf of their members, who are creators of musical works, aiming to ensure fair payments to members and to defend their rights under the Australian Copyright Act (1968).
APRA, which formed in 1926, represents songwriters, composers, and music publishers, providing businesses with a range of licences to use copyrighted music. This covers music that is communicated or performed publicly including on radio, television, online, live gigs in pubs and clubs etc. APRA distributes the royalties from these licence fees back to their composer, songwriter and music publisher members and overseas affiliates.
AMCOS, which formed in 1979, is responsible for licensing musical works to third parties who reproduce music via CD, DVD, vinyl recording, downloading, streaming or other digital means of reproduction, issuing what are known as mechanical rights and distributing mechanical royalties to writers and publishers of music and overseas affiliates.
In 1997 the two societies formed an alliance; since then, APRA has managed the day-to-day operations of the AMCOS business, but each has its own board of directors, elected from and by their own membership. They jointly present the APRA Awards each year.","[{'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 1541, 'end': 1546}]",True,Non-Financial Entity,"{'regulatory body': 0.9499227404594421, 'guideline': 0.49194440245628357, 'policy': 0.39742499589920044, 'finance': 0.28027066588401794, 'bank': 0.06666179746389389}"
40,40,SEBI,"The Securities and Exchange Board of India (SEBI) is the regulatory body for securities and commodity market in India under the ownership of Ministry of Finance ,  Government of India. It was established on 12 April 1988 as an executive body and was given statutory powers on 30 January 1992 through the SEBI Act, 1992.

","[{'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 77, 'end': 87}]",True,regulatory body,"{'regulatory body': 0.9769091010093689, 'guideline': 0.3702305555343628, 'policy': 0.270222008228302, 'bank': 0.1441301703453064}"
41,41,IOSCO,"The International Organization of Securities Commissions (IOSCO) is an association of organizations that regulate the world's securities and futures markets. Members are typically primary securities and/or futures regulators in a national jurisdiction or the main financial regulator from each country. Its mandate is to:
Develop, implement, and promote high standards of regulation to enhance investor protection and reduce systemic risk
Share information with exchanges and assist them with technical and operational issues
Establish standards toward monitoring global investment transactions across borders and marketsIOSCO has members from over 100 countries, who regulate more than 95% of the world's securities markets. It has a permanent secretariat in Madrid, Spain.

","[{'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 126, 'end': 136}, {'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 188, 'end': 198}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 264, 'end': 273}, {'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 706, 'end': 716}]",True,regulatory body,"{'regulatory body': 0.9768643379211426, 'guideline': 0.5327991843223572, 'policy': 0.5270076394081116, 'bank': 0.1771116703748703}"
